year,hist_ACCESS1-0,hist_ACCESS1-3,hist_bcc-csm1-1,hist_bcc-csm1-1-m,hist_BNU-ESM,hist_CanCM4,hist_CanESM2,hist_CCSM4,hist_CESM1-BGC,hist_CESM1-CAM5-1-FV2,hist_CESM1-CAM5,hist_CESM1-FASTCHEM,hist_CESM1-WACCM,hist_CMCC-CESM,hist_CMCC-CM,hist_CMCC-CMS,hist_CNRM-CM5,hist_CNRM-CM5-2,hist_CSIRO-Mk3-6-0,hist_CSIRO-Mk3L-1-2,hist_FGOALS-g2,hist_FGOALS-s2,hist_FIO-ESM,hist_GFDL-CM2p1,hist_GFDL-CM3,hist_GFDL-ESM2G,hist_GFDL-ESM2M,hist_GISS-E2-H,hist_GISS-E2-H-CC,hist_GISS-E2-R,hist_GISS-E2-R-CC,hist_HadCM3,hist_HadGEM2-AO,hist_HadGEM2-CC,hist_HadGEM2-ES,hist_inmcm4,hist_IPSL-CM5A-LR,hist_IPSL-CM5A-MR,hist_IPSL-CM5B-LR,hist_MIROC4h,hist_MIROC5,hist_MIROC-ESM,hist_MIROC-ESM-CHEM,hist_MPI-ESM-LR,hist_MPI-ESM-MR,hist_MPI-ESM-P,hist_MRI-CGCM3,hist_MRI-ESM1,hist_NorESM1-M,hist_NorESM1-ME,AVG_HIST,rcp45_ACCESS1-0,rcp45_ACCESS1-3,rcp45_bcc-csm1-1,rcp45_bcc-csm1-1-m,rcp45_BNU-ESM,rcp45_CanCM4,rcp45_CanESM2,rcp45_CCSM4,rcp45_CESM1-BGC,rcp45_CESM1-CAM5-1-FV2,rcp45_CESM1-CAM5,rcp45_CESM1-FASTCHEM,rcp45_CESM1-WACCM,rcp45_CMCC-CESM,rcp45_CMCC-CM,rcp45_CMCC-CMS,rcp45_CNRM-CM5,rcp45_CNRM-CM5-2,rcp45_CSIRO-Mk3-6-0,rcp45_CSIRO-Mk3L-1-2,rcp45_FGOALS-g2,rcp45_FGOALS-s2,rcp45_FIO-ESM,rcp45_GFDL-CM2p1,rcp45_GFDL-CM3,rcp45_GFDL-ESM2G,rcp45_GFDL-ESM2M,rcp45_GISS-E2-H,rcp45_GISS-E2-H-CC,rcp45_GISS-E2-R,rcp45_GISS-E2-R-CC,rcp45_HadCM3,rcp45_HadGEM2-AO,rcp45_HadGEM2-CC,rcp45_HadGEM2-ES,rcp45_inmcm4,rcp45_IPSL-CM5A-LR,rcp45_IPSL-CM5A-MR,rcp45_IPSL-CM5B-LR,rcp45_MIROC4h,rcp45_MIROC5,rcp45_MIROC-ESM,rcp45_MIROC-ESM-CHEM,rcp45_MPI-ESM-LR,rcp45_MPI-ESM-MR,rcp45_MPI-ESM-P,rcp45_MRI-CGCM3,rcp45_MRI-ESM1,rcp45_NorESM1-M,rcp45_NorESM1-ME,AVG_RCP45,rcp85_ACCESS1-0,rcp85_ACCESS1-3,rcp85_bcc-csm1-1,rcp85_bcc-csm1-1-m,rcp85_BNU-ESM,rcp85_CanCM4,rcp85_CanESM2,rcp85_CCSM4,rcp85_CESM1-BGC,rcp85_CESM1-CAM5-1-FV2,rcp85_CESM1-CAM5,rcp85_CESM1-FASTCHEM,rcp85_CESM1-WACCM,rcp85_CMCC-CESM,rcp85_CMCC-CM,rcp85_CMCC-CMS,rcp85_CNRM-CM5,rcp85_CNRM-CM5-2,rcp85_CSIRO-Mk3-6-0,rcp85_CSIRO-Mk3L-1-2,rcp85_FGOALS-g2,rcp85_FGOALS-s2,rcp85_FIO-ESM,rcp85_GFDL-CM2p1,rcp85_GFDL-CM3,rcp85_GFDL-ESM2G,rcp85_GFDL-ESM2M,rcp85_GISS-E2-H,rcp85_GISS-E2-H-CC,rcp85_GISS-E2-R,rcp85_GISS-E2-R-CC,rcp85_HadCM3,rcp85_HadGEM2-AO,rcp85_HadGEM2-CC,rcp85_HadGEM2-ES,rcp85_inmcm4,rcp85_IPSL-CM5A-LR,rcp85_IPSL-CM5A-MR,rcp85_IPSL-CM5B-LR,rcp85_MIROC4h,rcp85_MIROC5,rcp85_MIROC-ESM,rcp85_MIROC-ESM-CHEM,rcp85_MPI-ESM-LR,rcp85_MPI-ESM-MR,rcp85_MPI-ESM-P,rcp85_MRI-CGCM3,rcp85_MRI-ESM1,rcp85_NorESM1-M,rcp85_NorESM1-ME,AVG_RCP85
1950,0.163845123762,0.14218919247,-0.262920203676,-0.0320144309879,0.0201600607922,,-0.052619284413,0.153179773727,0.162346239403,,-0.249737297096,-0.038704369264,-0.322412618173,,0.252742417165,-0.1654171234,0.201729183585,0.268570102871,-0.261385260892,,-0.391197052379,,0.0490220561097,-0.23340058182,-0.137802114993,-0.310562530244,-0.40002088374,0.153723440401,0.216529823241,0.398416010966,0.370701581882,,-0.189233209405,-0.2616236348,-0.167912987345,0.128007036905,,0.0871325072797,,0.335939436437,-0.35041013917,0.0166354259258,0.172622187889,0.273942735514,0.076366482665,0.14967145169,0.202257010212,0.310657198542,-0.0480621274837,-0.0304481557953,0.00953577319904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,0.179188736837,0.276488576015,-0.381585754665,0.00158528477896,0.036333037345,,-0.162866749744,0.103728251854,0.223842328551,,0.0466796138987,-0.0480646429476,-0.339145949624,,0.078379827554,0.201995705871,0.196254028356,0.191102042322,-0.24181092126,,-0.247207673094,,-0.173478705924,-0.173257190128,0.0285180113937,-0.2437428999,-0.15103954121,-0.182298719552,-0.0104288470361,0.419621910815,0.490407599833,,-0.15581906724,-0.150060337379,0.00214411295678,0.078434433394,,-0.0438754705665,,0.156631094167,-0.397283852667,0.211806142393,0.163235516546,0.327136104434,0.0859800769836,0.0159134486941,0.234010473026,0.456508350801,-0.217289624289,-0.14105334199,0.0177527480858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,0.0904842446117,0.0831886766644,-0.172762845852,-0.0553503477453,-0.139605791674,,-0.211606332461,0.0512777246916,0.195676910568,,-0.138819325099,-0.107315132826,-0.407958893747,,0.00210895047169,-0.0590150630359,0.21342600924,0.11223469463,-0.566715766282,,-0.236430034461,,0.00653665057718,0.191256006265,0.147695703736,-0.243168761894,-0.463982640384,-0.0179049620915,-0.0365065648157,0.166298017449,0.615150894474,,-0.0425737057121,-0.124047538007,-0.19002534837,0.0447980581972,,-0.209241974155,,0.271565790215,-0.272128287159,0.156664681515,0.193562868124,0.00820343298135,0.354252651968,0.353622403519,0.645045126781,0.202576991245,-0.143330865604,-0.167065017859,0.00238264973071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,0.122267163463,-0.0621653508472,-0.0836853826001,0.0376165442281,-0.0290394878571,,0.120027020142,-0.0469009678306,0.028084405233,,-0.38541223089,-0.131411026603,-0.358824324707,,0.14887089493,0.210931497745,0.273152667847,0.165810438244,-0.237284142267,,-0.282536156229,,0.21164233757,-0.153835519776,-0.0730559028144,-0.128181921058,-0.265882147288,0.0833394372299,0.0640916476649,0.237903680787,0.132596972944,,-0.0574706945673,-0.241174544516,-0.167484604067,0.260026359002,,0.137521026754,,0.0558505865309,-0.0807728567094,0.0813413471522,0.423217112888,-0.0994158974791,0.139324697793,0.0716465647352,0.449062023094,0.60889033089,-0.376876884866,-0.189982393428,0.0145671981063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,0.0251162844062,-0.031603791081,-0.187251778784,0.209994469511,-0.0464388644991,,-0.0599295250474,0.115454030534,0.164199158073,,-0.288223992096,-0.0134287729029,-0.414565371125,,0.132578340535,0.0314103249013,-0.0428816878087,-0.0108453685176,-0.210632293334,,-0.206115534682,,0.173606527883,-0.0496417537598,-0.102324014355,-0.403247914158,-0.0869471625744,-0.0456320438668,0.109266025649,0.172650801543,0.15522528963,,-0.261817688067,-0.27833467456,-0.0899520918605,0.143862572073,,-0.00475012181634,,0.221286393346,-0.121856389905,0.393884796761,-0.0178685694837,-0.0284071338509,0.221249412278,0.0927714764009,0.171892975021,0.265552932715,-0.163436718654,-0.319196136752,-0.0163173233876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,-0.0740733636708,0.210652736302,-0.218656193878,-0.108346948221,0.184133265016,,-0.30826757749,-0.176312133555,-0.127515285644,,-0.113183413929,-0.0693750532473,-0.381082433847,,0.51449480335,0.166125392379,-0.0974884145098,-0.0354191605307,-0.236327598129,,-0.287400443487,,0.0288730863921,-0.103457740499,-0.0300335382431,-0.245647798711,-0.217432718353,-0.00688477163617,-0.00111725670794,0.212417631068,0.232718268627,,-0.148732837364,-0.238527691726,-0.103660904412,0.175639567633,,-0.147403343596,,0.231181965483,-0.311480613701,0.148375566597,0.114617043279,-0.0572251780773,0.385030186537,0.0973038352814,0.168969221641,0.635687214192,-0.353455795614,-0.287173205323,-0.0233205150077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,-0.181413383879,0.0524179057547,-0.207777994729,0.192364099848,0.115938289375,,0.112540560287,-0.118683591494,-0.161357401684,,-0.016802441243,-0.0501240747141,-0.555892778147,,0.0218516040509,0.135064726449,-0.0197615380798,0.280233928025,-0.321478987608,,-0.255964902904,,0.0669668498916,-0.250113467368,-0.0653049077323,-0.0506178101753,-0.316243562548,0.14769598265,0.139711804348,0.243994661558,0.114209858155,,-0.152825465704,-0.159140136952,-0.231047970138,0.102841305979,,0.00554477829833,,0.370091257229,-0.41918495362,0.111254955101,0.0810148825829,-0.0463916825222,0.0233900151706,0.238956240194,0.653370939017,0.500377886206,-0.185040044768,-0.317107845871,-0.00886767646931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,-0.0682955786589,0.00981087184,-0.293025789766,-0.0395323901663,0.181204062337,,0.0727627326102,-0.173497682542,-0.193222599299,,-0.219691753247,-0.0112265743532,-0.45907821153,,0.503556110539,-0.154581777018,0.340328249833,0.171038545174,-0.283573743769,,-0.239270017775,,-0.2020828934,-0.126242898786,0.00414699938452,-0.0320426361456,-0.195563932304,0.212956186203,-0.112542883456,0.282098258784,0.138532798646,,-0.1286196944,-0.116958683776,-0.163527111411,0.0756163625475,,-0.133938905781,,0.30515040675,-0.111553239263,0.19552603755,0.360804933589,0.263747143221,0.0540028132555,0.157404522127,0.34181243882,0.568685967839,-0.244199190781,-0.467802654937,0.00164558567816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,0.195767317331,0.167091933078,-0.391359112581,0.0452958322657,-0.00671205708853,,-0.064228046147,-0.175331999839,-0.0175567408353,,-0.117642054421,0.23227693994,-0.2273232249,,0.325583573505,0.168867092437,0.478477529694,0.25781131752,-0.514034122158,,-0.215752196623,,-0.104822804275,-0.138997102214,-0.0181555016497,-0.127504446699,-0.106236790821,-0.0860041308422,0.183017759762,0.422328071128,0.39204026082,,-0.175705989951,-0.341245288005,-0.174736054965,0.0499064998223,,-0.00258513004469,,0.0582038950945,-0.4003197302,0.139442884693,0.441093110889,-0.105940190987,0.362479544926,0.142074484738,0.281577957187,0.467132041916,-0.303516851576,-0.397915039428,0.014210558107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,-0.0766772581943,-0.0733543194172,-0.15607855179,-0.218215204966,-0.196148961249,,0.00563729706813,0.205717093261,-0.157045060648,,-0.00849481201087,-0.157094545679,-0.476488427193,,0.137415260385,0.161710931812,0.266428681733,0.200306039638,-0.269546498519,,-0.309399572564,,-0.0276869268351,-0.261404517673,0.0671023592734,-0.122334102333,0.165884660349,0.172115167748,-0.00993249010767,0.309908743846,0.237626353412,,-0.206185689261,-0.150982360607,-0.0544260322575,0.0209504464693,,-0.0920878630791,,0.282013067547,-0.324359223716,0.0457981592392,0.0310270876704,0.408771993203,-0.162889100332,-0.0360892065929,0.444210138633,0.347052663184,-0.148631413137,-0.398213839839,-0.0139069007983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
